#Name,Barley,Herbs,Dye Plant,Resin,Saltwort,Small Birds,Flax,Beaver,Pony,Sea Shell,Iron,Copper,Silver,Tin,Granite,Mountains,Marshes,Size
E,1,,,,,,,1,,,1,1,1,,,10,6,L
270,,1,,1,1,,1,,,,1,,,,,9,6,L
090,,11,,1,,,,,1,1,,,,,1,9,7,L
315,1,,,1,,1,,1,,,1,,,,,8,6,L
#N,,1,1,,,,,,,1,1,1,,,,8,6,L
S,,1,1,,1,,,,,,1,,1,,,10,5,L
#W,1,,1,,,1,,,,,1,,1,,,8,6,L
#030,1,,,1,1,1,,,,,1,,,,,10,8,L
060,,,,,,,,,1,1,,1,,1,1,7,3,M
120,,,1,,1,,1,,,,,,,1,1,7,3,M
135,,,,,,1,,1,,,,,1,1,1,6,5,M
160,,,,,,,1,,1,,,,1,1,1,2,0,S
210,1,,,1,,,1,,1,,,,,,1,7,3,M
240,,,,,,,1,,,1,,1,,1,1,7,3,M
290,,1,,1,1,,,,,1,,,,,1,4,0,S
350,,,,,,,,1,1,,,1,,1,1,8,2,M
